city,inhabitant
Aalborg,Aalborgenser
Aarhus,Aarhusian
Abidjan,Abidjanais
Adana,Adanite
Adelaide,Adelaidean
Addis Ababa,Addis Ababian
Ahmedabad,Amdavadi
Agde,Agathois
Aix-en-Provence,Aixois
Albany,Albanian
Albuquerque,Albuquerquean
Aleppo,Aleppine
Alexandria,Alexandrian
Algiers,Algerois
Almeria,Almerian
Alpine,Alpinian
Amalfi,Amalfitan
Amman,Ammani
Ammon,Ammonite
Amparo,Amparense
Amsterdam,Amsterdammer
Anchorage,Anchorageite
Andong,Andong
Ankara,Ankarite
Angeles,Angelino
Angers,Anjou
Annapolis,Annapolitan
Antakya,Antakyan
Antalya,Antalyan
Aosta,Aostan
Aqaba,Aqabawi
Arequipa,Arequipeno
Arlington,Arlingtonian
Armagh,Armachian
Armidale,Armidilian
Ashdod,Ashdodi
Asheville,Ashevillain
Ashkelon,Ashkelonian
Asmara,Asmaran
Asuncion,Asunceno
Athens,Athenian
Atlanta,Atlantan
Auckland,Auckland
Austin,Austonian
Aydin,Aydinian
Bacolod,Bacolodnon
Baku,Bakuvian
Balikesir,Balikesirian
Baltimore,Baltimorean
Bandung,Bandungite
Bangalore,Bangalorean
Bangkok,Bangkokian
Barcelona,Barcelonian
Barisal,Barisali
Basel,Basler
Bath,Bathonian
Baton Rouge,Baton Rougean
Bedford,Bedfordian
Beersheba,Beersheban
Beijing,Beijingese
Beirut,Beiruti
Belfast,Belfast
Belford Roxo,Belforroxense
Belo Horizonte,Belo-Horizontino
Belgrade,Belgradian
Bellinzona,Bellinzonese
Benevento,Beneventan
Bengeo,Bengean
Bergamo,Bergamasque
Bergen,Bergener
Berlin,Berliner
Bern,Bernese
Beziers,Bitterois
Bhopal,Bhopali
Birmingham,Birminghamian
Blackburn,Blackburnian
Bnei Brak,Bnei Brakian
Bodrum,Bodrumian
Boise,Boisean
Bologna,Bolognese
Bogota,Bogotano
Bolton,Boltonian
Bordeaux,Bordelais
Bossangoa,Bossangoan
Boston,Bostonian
Bradford,Bradfordian
Brasilia,Brasiliense
Bratislava,Bratislavan
Bremen,Bremer
Brescia,Brescian
Brighton,Brightonian
Brisbane,Brisbanian
Bristol,Bristolian
Brooklyn,Brooklynite
Brussels,Brusselian
Bucaramanga,Bumangues
Bucharest,Bucharestian
Budapest,Budapestian
Buffalo,Buffalonian
Burlington,Burlingtonian
Bursa,Bursanese
Busan,Busan
